indicator.tdat,indicator.name,source
BareSoilCover_FH,Bare Soil (%),Terrestrial AIM
TotalFoliarCover_FH,Foliar Cover (%),Terrestrial AIM
GapPct_25_50,Percent in Gaps 25-50 cm,Terrestrial AIM
GapPct_51_100,Percent in Gaps 51-100 cm,Terrestrial AIM
GapPct_101_200,Percent in Gaps 101-200 cm,Terrestrial AIM
GapPct_200_plus,Percent in Gaps > 200 cm,Terrestrial AIM
GapPct_25_plus,Percent in Gaps > 25 cm,Terrestrial AIM
NonInvPerenForbCover_AH,"Non-invasive Perennial Forb Cover (%, any hit)",Terrestrial AIM
NonInvAnnForbCover_AH,"Non-invasive Annual Forb Cover  (%, any hit)",Terrestrial AIM
NonInvPerenGrassCover_AH,"Non-invasive Perennial Grass Cover  (%, any hit)",Terrestrial AIM
NonInvAnnGrassCover_AH,"Non-invasive Annual Grass Cover  (%, any hit)",Terrestrial AIM
NonInvAnnForbGrassCover_AH,"Non-invasive Annual Forb/Grass Cover  (%, any hit)",Terrestrial AIM
NonInvPerenForbGrassCover_AH,"Non-invasive Perennial Forb/Grass Cover  (%, any hit)",Terrestrial AIM
NonInvSucculentCover_AH,"Non-invasive Succulent Cover  (%, any hit)",Terrestrial AIM
NonInvShrubCover_AH,"Non-invasive Shrub Cover  (%, any hit)",Terrestrial AIM
NonInvSubShrubCover_AH,"Non-invasive Sub-shrub Cover  (%, any hit)",Terrestrial AIM
NonInvTreeCover_AH,"Non-invasive Tree Cover  (%, any hit)",Terrestrial AIM
InvPerenForbCover_AH,"Invasive Perennial Forb Cover  (%, any hit)",Terrestrial AIM
InvAnnForbCover_AH,"Invasive Annual Forb Cover  (%, any hit)",Terrestrial AIM
InvPerenGrassCover_AH,"Invasive Perennial Grass Cover  (%, any hit)",Terrestrial AIM
InvAnnGrassCover_AH,"Invasive Annual Grass Cover  (%, any hit)",Terrestrial AIM
InvAnnForbGrassCover_AH,"Invasive Annual Forb/Grass Cover  (%, any hit)",Terrestrial AIM
InvPerenForbGrassCover_AH,"Invasive Perennial Forb/Grass Cover  (%, any hit)",Terrestrial AIM
InvSucculentCover_AH,"Invasive Succulent Cover  (%, any hit)",Terrestrial AIM
InvShrubCover_AH,"Invasive Shrub Cover  (%, any hit)",Terrestrial AIM
